id,lat,lng,addr
10,37.53200123,126.866167,대한민국 서울특별시 양천구 목동중앙서로8길 15
9,37.53166716,126.8655005,대한민국 서울특별시 양천구 목동중앙서로6길 21
8,37.53166569,126.8666658,대한민국 서울특별시 양천구 목동중앙로1길 19
7,37.5323336,126.8676658,대한민국 서울특별시 양천구 목동 943-1
6,37.52683448,126.8341662,대한민국 서울특별시 양천구 신월동 818
5,37.52999885,126.8324991,대한민국 서울특별시 양천구 신월1동 130-6
4,37.5293333,126.8789987,대한민국 서울특별시 양천구 목동 914-10
3,37.53066587,126.8343344,대한민국 서울특별시 신월동 124-10번지 양천구 서울특별시 KR
2,37.53100052,126.8325,대한민국 서울특별시 양천구 신월동 130-36
1,37.53350045,126.830999,대한민국 서울특별시 양천구 신월동 137-1
